,match_date,match_map,match_mode,match_duration,match_result,champ_name,champ_kills,champ_deaths,champ_assists,champ_farm,champ_gold,champ_level,champ_first_spell,champ_second_spell
728,2020-02-07,Summoner's Rift,,16.833333333333332,victory,Caitlyn,15,7,8,71,15300,16,SummonerBoost,SummonerFlash
729,2020-02-06,Summoner's Rift,,25.93333333333333,defeat,Irelia,16,13,5,150,22600,21,SummonerBoost,SummonerFlash
730,2020-02-06,Summoner's Rift,,25.48333333333333,victory,Caitlyn,21,10,16,151,26800,23,SummonerBoost,SummonerFlash
731,2020-02-06,Summoner's Rift,,20.48333333333333,victory,Irelia,17,7,9,150,18900,17,SummonerBoost,SummonerFlash
732,2020-02-06,Summoner's Rift,Normal (Draft Mode),28.616666666666664,defeat,Aphelios,1,7,5,158,8400,13,SummonerHeal,SummonerFlash
733,2020-02-06,Summoner's Rift,Normal (Draft Mode),21.45,defeat,Aphelios,5,6,6,139,9000,11,SummonerHeal,SummonerFlash
734,2020-02-05,Summoner's Rift,Custom,37.15,defeat,Thresh,4,7,19,46,9600,16,SummonerDot,SummonerFlash
735,2020-02-05,Howling Abyss,Custom,16.316666666666666,victory,Ryze,9,3,8,68,11600,16,SummonerSnowball,SummonerFlash
736,2020-02-05,Howling Abyss,Custom,8.65,victory,Aphelios,6,1,18,26,7300,11,SummonerHeal,SummonerFlash
737,2020-02-05,Summoner's Rift,Custom,43.766666666666666,victory,Caitlyn,9,5,21,218,16100,18,SummonerHeal,SummonerFlash
738,2020-02-05,Summoner's Rift,,19.16666666666666,victory,Orianna,5,17,19,100,14400,18,SummonerBoost,SummonerFlash
739,2020-02-05,Summoner's Rift,,26.45,victory,Xerath,11,18,16,133,22100,22,SummonerBoost,SummonerFlash
740,2020-02-04,Summoner's Rift,,14.433333333333332,defeat,Ezreal,5,11,12,58,10700,12,SummonerBoost,SummonerFlash
741,2020-02-04,Summoner's Rift,Normal (Draft Mode),40.05,victory,Aphelios,8,7,16,207,14600,16,SummonerHeal,SummonerFlash
742,2020-02-04,Summoner's Rift,,23.016666666666662,victory,Sona,10,6,21,106,18100,18,SummonerBoost,SummonerFlash
743,2020-02-04,Summoner's Rift,,17.5,victory,Xayah,18,7,6,122,17600,16,SummonerBoost,SummonerFlash
744,2020-02-02,Summoner's Rift,,11.716666666666665,victory,Amumu,4,4,12,45,9200,11,SummonerBoost,SummonerFlash
745,2020-02-02,Summoner's Rift,,19.1,victory,Amumu,13,11,17,49,15800,19,SummonerBoost,SummonerFlash
746,2020-02-02,Summoner's Rift,,8.95,defeat,Irelia,4,9,2,29,5800,7,SummonerBoost,SummonerFlash
747,2020-02-02,Summoner's Rift,,15.683333333333332,defeat,Thresh,10,9,8,52,13400,13,SummonerBoost,SummonerFlash
748,2020-02-02,Summoner's Rift,,15.366666666666665,victory,Heimerdinger,8,4,19,89,13300,13,SummonerBoost,SummonerFlash
749,2020-02-01,Summoner's Rift,,22.2,defeat,Lucian,4,13,10,159,17300,18,SummonerBoost,SummonerFlash
750,2020-02-01,Summoner's Rift,,20.083333333333332,defeat,Morgana,4,12,10,65,12900,16,SummonerBoost,SummonerFlash
751,2020-01-31,Summoner's Rift,,18.1,victory,Ezreal,6,8,15,110,15400,17,SummonerBoost,SummonerFlash
752,2020-01-29,Summoner's Rift,,18.9,victory,Miss Fortune,8,7,8,100,14800,15,SummonerBoost,SummonerFlash
753,2020-01-29,Summoner's Rift,,16.083333333333332,defeat,Fiddlesticks,10,13,11,74,12700,13,SummonerBoost,SummonerFlash
754,2020-01-28,Summoner's Rift,,28.133333333333333,defeat,Sett,7,10,18,96,18700,22,SummonerBoost,SummonerFlash
755,2020-01-27,Summoner's Rift,,12.5,defeat,Xerath,0,3,0,53,6700,10,SummonerBoost,SummonerFlash
756,2020-01-26,Summoner's Rift,Normal (Draft Mode),3.35,earlysurrender,Lucian,0,0,0,9,901,2,SummonerHeal,SummonerFlash
757,2020-01-26,Summoner's Rift,Normal (Draft Mode),20.03333333333333,defeat,Xayah,2,5,4,76,5700,10,SummonerHeal,SummonerFlash
758,2020-01-26,Summoner's Rift,,21.516666666666662,defeat,Morgana,7,9,20,93,15400,18,SummonerBoost,SummonerFlash
